category,roll_number,cgpa
overall,25031A0103,9.41
overall,25031A0449,9.29
overall,25031A0528,9.23
overall,25031A0535,8.95
overall,25031A0210,8.82
overall,25031A0405,8.68
overall,25031A0538,8.64
overall,25031A0501,8.56
overall,25031A0410,8.54
overall,25031A0220,8.51
ce,25031A0103,9.41
ce,25031A0112,8.24
ce,25031A0116,8.17
ce,25031A0101,7.95
ce,25031A0129,7.49
ce,25031A0117,7.32
ce,25031A0120,7.05
ce,25031A0115,7.02
ce,25031A0107,7.02
ce,25031A0108,0.0
eee,25031A0210,8.82
eee,25031A0220,8.51
eee,25031A0216,8.38
eee,25031A0219,8.36
eee,25031A0243,8.31
eee,25031A0202,8.26
eee,25031A0228,7.95
eee,25031A0222,7.95
eee,25031A0242,7.95
eee,25031A0241,7.51
mec,25031A0322,7.66
mec,25031A0320,7.46
mec,25031A0302,7.24
mec,25031A0307,7.07
mec,25031A0324,6.98
mec,25031A0306,6.9
mec,25031A0305,0.0
mec,25031A0301,0.0
mec,25031A0309,0.0
mec,25031A0308,0.0
ece,25031A0449,9.29
ece,25031A0405,8.68
ece,25031A0410,8.54
ece,25031A0418,8.34
ece,25031A0447,8.29
ece,25031A0424,8.22
ece,25031A0451,8.17
ece,25031A0420,8.15
ece,25031A0429,8.15
ece,25031A0435,8.02
cse,25031A0528,9.23
cse,25031A0535,8.95
cse,25031A0538,8.64
cse,25031A0501,8.56
cse,25031A0544,8.28
cse,25031A0543,8.28
cse,25031A0530,8.18
cse,25031A0516,8.13
cse,25031A0513,8.1
cse,25031A0539,8.05
